id,gpxStatus,gpxDownloadable,gpxFile,note
FZ001,轨迹可预览,false,./content/tracks/FZ001.kml,详情页展示线路轨迹，但不开放原始轨迹文件。
FZ002,轨迹可预览,false,./content/gpx/FZ002.gpx,本页仅展示线路预览，不开放原始轨迹文件。
FZ003,轨迹可预览,false,./content/tracks/FZ003.kml,详情页展示线路轨迹，但不开放原始轨迹文件。
FZ004,轨迹可预览,false,./content/tracks/FZ004.kml,详情页展示线路轨迹，但不开放原始轨迹文件。
FZ005,无轨迹,false,,暂无可预览轨迹。
FZ006,轨迹可预览,false,./content/tracks/FZ006.kml,详情页展示线路轨迹，但不开放原始轨迹文件。
FZ007,无轨迹,false,,暂无可预览轨迹。
FZ008,无轨迹,false,,暂无可预览轨迹。
FZ009,无轨迹,false,,暂无可预览轨迹。
FZ010,轨迹可预览,false,./content/tracks/FZ010.kml,详情页展示线路轨迹，但不开放原始轨迹文件。
FZ011,无轨迹,false,,暂无可预览轨迹。
FZ012,无轨迹,false,,暂无可预览轨迹。
FZ013,无轨迹,false,,暂无可预览轨迹。
FZ014,无轨迹,false,,暂无可预览轨迹。
FZ015,无轨迹,false,,暂无可预览轨迹。
FZ016,无轨迹,false,,暂无可预览轨迹。
FZ017,无轨迹,false,,暂无可预览轨迹。
FZ018,无轨迹,false,,暂无可预览轨迹。
FZ019,无轨迹,false,,暂无可预览轨迹。
FZ020,无轨迹,false,,暂无可预览轨迹。
FZ021,无轨迹,false,,暂无可预览轨迹。
FZ022,无轨迹,false,,暂无可预览轨迹。
FZ023,无轨迹,false,,暂无可预览轨迹。
FZ024,轨迹可预览,false,./content/tracks/FZ024.kml,详情页展示线路轨迹，但不开放原始轨迹文件。
FZ025,无轨迹,false,,暂无可预览轨迹。
FZ026,无轨迹,false,,暂无可预览轨迹。
FZ027,无轨迹,false,,暂无可预览轨迹。
FZ028,无轨迹,false,,暂无可预览轨迹。
FZ029,无轨迹,false,,暂无可预览轨迹。
FZ030,无轨迹,false,,暂无可预览轨迹。
FZ031,轨迹可预览,false,./content/tracks/FZ031.kml,详情页展示线路轨迹，但不开放原始轨迹文件。
FZ032,轨迹可预览,false,./content/tracks/FZ032.kml,详情页展示线路轨迹，但不开放原始轨迹文件。
FZ033,轨迹可预览,false,./content/tracks/FZ033.kml,详情页展示线路轨迹，但不开放原始轨迹文件。
FZ034,轨迹可预览,false,./content/tracks/FZ034.kml,详情页展示线路轨迹，但不开放原始轨迹文件。
FZ035,轨迹可预览,false,./content/tracks/FZ035.kml,详情页展示线路轨迹，但不开放原始轨迹文件。
FZ036,轨迹可预览,false,./content/tracks/FZ036.kml,详情页展示线路轨迹，但不开放原始轨迹文件。
FZ037,轨迹可预览,false,./content/tracks/FZ037.kml,详情页展示线路轨迹，但不开放原始轨迹文件。
FZ038,轨迹可预览,false,./content/tracks/FZ038.kml,详情页展示线路轨迹，但不开放原始轨迹文件。
FZ039,轨迹可预览,false,./content/tracks/FZ039.kml,详情页展示线路轨迹，但不开放原始轨迹文件。
FZ040,轨迹可预览,false,./content/tracks/FZ040.kml,详情页展示线路轨迹，但不开放原始轨迹文件。
FZ041,轨迹可预览,false,./content/tracks/FZ041.kml,详情页展示线路轨迹，但不开放原始轨迹文件。
FZ042,轨迹可预览,false,./content/tracks/FZ042.kml,详情页展示线路轨迹，但不开放原始轨迹文件。
FZ043,轨迹可预览,false,./content/tracks/FZ043.kml,详情页展示线路轨迹，但不开放原始轨迹文件。
FZ044,轨迹可预览,false,./content/tracks/FZ044.kml,详情页展示线路轨迹，但不开放原始轨迹文件。
FZ045,轨迹可预览,false,./content/tracks/FZ045.kml,详情页展示线路轨迹，但不开放原始轨迹文件。
FZ046,轨迹可预览,false,./content/tracks/FZ046.kml,详情页展示线路轨迹，但不开放原始轨迹文件。
FZ047,轨迹可预览,false,./content/tracks/FZ047.kml,详情页展示线路轨迹，但不开放原始轨迹文件。
FZ048,轨迹可预览,false,./content/tracks/FZ048.kml,详情页展示线路轨迹，但不开放原始轨迹文件。
FZ049,轨迹可预览,false,./content/tracks/FZ049.kml,详情页展示线路轨迹，但不开放原始轨迹文件。
FZ050,轨迹可预览,false,./content/tracks/FZ050.kml,详情页展示线路轨迹，但不开放原始轨迹文件。
FZ051,轨迹可预览,false,./content/tracks/FZ051.kml,详情页展示线路轨迹，但不开放原始轨迹文件。
FZ052,轨迹可预览,false,./content/tracks/FZ052.kml,详情页展示线路轨迹，但不开放原始轨迹文件。
